delta,theta,alpha,beta,gamma,f1,f2,f3,f4,beta_alpha,gamma_power,theta_alpha,stress_index,engagement_index,is_focus,is_memory,is_relaxed,is_stressed,is_engaged,score,label
0.0,0.0,0.06354903502858492,0.06293561050739431,0.07599953485008651,0.066354947723365,0.09062636146364261,0.254711715513044,0.0026637969398688142,0.9903316415024124,0.07599953485008651,0.0,2.1862323961739367,0.9903316415024124,0,0,1,1,0,2,0
0.0,0.0,0.057584612272860866,0.08918145346628224,0.08883190479020636,0.08119485599890792,0.055647339826936766,0.20306536578521023,0.020660340924999764,1.548675961691771,0.08883190479020636,0.0,3.0912818537553926,1.548675961691771,1,0,1,1,1,4,1
0.0,0.0,0.06477719870954735,0.09470694472428338,0.06427452977271159,0.07961640448270643,0.05708593792698484,0.2492117727184097,0.009903625273983347,1.4620188058783576,0.06427452977271159,0.0,2.4542435211858313,1.4620188058783576,1,0,1,1,1,4,1
0.0,0.0,0.06294690820216486,0.03597579378785572,0.03200401405941834,0.04172562745932367,0.06252626346041214,0.21924300302097688,0.001501443722623851,0.5715169068416869,0.03200401405941834,0.0,1.0799375195907803,0.5715169068416869,0,0,1,0,0,1,0
0.0,0.0,0.13866375779814719,0.14676059054726917,0.09963996389894275,0.13295622569790708,0.0978736208292321,0.288744097906848,0.011572468753103317,1.0583842129584722,0.09963996389894275,0.0,1.7769515366326503,1.0583842129584722,0,0,1,1,1,3,1
0.0,0.0,0.11852514181798451,0.06083420626679596,0.06769176648108959,0.0769713302081665,0.04971835738852171,0.2389334484012716,0.0179816622541503,0.5132556019600842,0.06769176648108959,0.0,1.0843681467777577,0.5132556019600842,0,0,1,0,0,1,0
0.0,0.0,0.1233978983147411,0.08201449276681126,0.0905833819891817,0.09450256645938632,0.052871984847788225,0.24161713008362257,0.020722758036589017,0.6646290516923837,0.0905833819891817,0.0,1.3986986684092189,0.6646290516923837,0,0,1,1,0,2,0
0.0,0.0,0.09309090629678085,0.046446182095720746,0.005303875592954512,0.047821786520294216,0.08689077807485135,0.3301518954802743,0.0008470160118340913,0.498928252125898,0.005303875592954512,0.0,0.5559028679001795,0.498928252125898,0,0,1,0,0,1,0
0.0,0.0,0.15932651743680756,0.05663239839943135,0.047179096726886624,0.07994260274063923,0.13878601655386397,0.5892153782050455,0.005768681773200051,0.35544643706566803,0.047179096726886624,0.0,0.6515603631839155,0.35544643706566803,0,0,1,0,0,1,0
0.0,0.0,0.18696821767866312,0.18182204186261797,0.09193247341184158,0.1606361937039352,0.11354881699416289,0.3725538272321328,0.004089934349895584,0.9724704639621939,0.09193247341184158,0.0,1.464168907980088,0.9724704639621939,0,0,1,1,0,2,0
0.0,0.0,0.08379817675399359,0.09425538464041133,0.04550975625413124,0.07945467557223687,0.03657536347626905,0.14056773880614057,0.02958635138300429,1.1247769762358606,0.04550975625413124,0.0,1.667858161719731,1.1247769762358606,0,0,1,1,1,3,1
0.0,0.0,0.08689290912524283,0.07863135834826243,0.054553582436128054,0.07467730206447394,0.02864654630235243,0.12507679605602795,0.016892101596691866,0.9049121985630623,0.054553582436128054,0.0,1.5327304540117646,0.9049121985630623,0,0,1,1,0,2,0
0.0,0.0,0.19892590262473792,0.08658530127491042,0.09107808097142683,0.11579364653649639,0.07056511981775662,0.30045357611914464,0.04475520601057779,0.4352618983780575,0.09107808097142683,0.0,0.8931088751805841,0.4352618983780575,0,0,1,0,0,1,0
0.0,0.0,0.14550567601127531,0.06319271437394117,0.06191827371807046,0.083452344619307,0.05555953076879853,0.21138380090461312,0.028161684419480696,0.43429426130966226,0.06191827371807046,0.0,0.8598298821857272,0.43429426130966226,0,0,1,0,0,1,0
0.0,0.0,0.13515602039430635,0.06738810082690759,0.02620457710323989,0.07403419978784037,0.10402193432838652,0.4187157225384192,0.0006098924635397968,0.49859119881682734,0.02620457710323989,0.0,0.6924736699366463,0.49859119881682734,0,0,1,0,0,1,0
0.0,0.0,0.09651911771109095,0.0866245612726191,0.032052397692664804,0.07545515948724847,0.04447545477913543,0.15200299074709023,0.0034110011211828098,0.8974767470954423,0.032052397692664804,0.0,1.2295567160466376,0.8974767470954423,0,0,1,0,0,1,0
0.0,0.0,0.12071695008323441,0.1062534359660755,0.07153312047393252,0.10118923562232948,0.056256690894627995,0.223816279979028,0.01111547574575537,0.8801792599428196,0.07153312047393252,0.0,1.472743335331863,0.8801792599428196,0,0,1,1,0,2,0
0.0,0.0,0.13593372220998673,0.07125696211708135,0.029845970835587248,0.07707340431993417,0.05501263078947035,0.20695704149842303,0.01323202074628586,0.5241998582746675,0.029845970835587248,0.0,0.743760911921302,0.5241998582746675,0,0,1,0,0,1,0
0.0,0.0,0.10069621266998154,0.055227682166155465,0.03413988418391069,0.06132286529655078,0.03891956151992731,0.16647908068717576,0.0166692109442276,0.5484529382869321,0.03413988418391069,0.0,0.8874879848258916,0.5484529382869321,0,0,1,0,0,1,0
